"pokemon1","pokemon2","compatibility","viability_ceiling_pokemon2"
"Rotom-Mow","Ninetales",0.011990407481789589,68
"Rotom-Mow","Ditto",0.016786571592092514,86
"Rotom-Mow","Comfey",0.023980814963579178,78
"Rotom-Mow","Arcanine",0.038369305431842804,70
"Rotom-Mow","Iron Bundle",0.02158273383975029,82
"Rotom-Mow","Indeedee-Female",0.07673861086368561,83
"Rotom-Mow","Clodsire",0.016786571592092514,83
"Rotom-Mow","Scyther",0.014388489536941051,68
"Rotom-Mow","Dusclops",0.016786571592092514,77
"Rotom-Mow","Chi-Yu",0.0791366919875145,86
"Rotom-Mow","Enamorus-Therian",0.014388489536941051,72
"Rotom-Mow","Torkoal",0.04316546767950058,81
"Rotom-Mow","Oranguru",0.016786571592092514,77
"Rotom-Mow","Chien-Pao",0.02158273383975029,85
"Rotom-Mow","Ursaluna",0.050359711050987244,83
"Rotom-Mow","Klefki",0.011990407481789589,79
"Rotom-Mow","Garchomp",0.12949639558792114,77
"Rotom-Mow","Mewtwo",0.028776979073882103,69
"Rotom-Mow","Ting-Lu",0.29976019263267517,85
"Rotom-Mow","Sylveon",0.026378896087408066,72
"Rotom-Mow","Ogerpon-Hearthflame-Mask",0.02158273383975029,85
"Rotom-Mow","Umbreon",0.03357314318418503,79
"Rotom-Mow","Archaludon",0.019184652715921402,83
"Rotom-Mow","Terapagos",0.04316546767950058,83
